"Alter","Weiblich","Bezugsdauer","Vitality1","Vitality2","Sozial1","Sozial2","Mastery1","Mastery2","Perspektive1","Perspektive2","Interventionsgruppe"
32,0,3,3.25,2.5,3.33333333333333,4,4.25,2.25,4.25,3.5,1
24,0,5,3.5,3.75,3.33333333333333,4,4,4,3.75,4,1
56,100,43,2.5,2,2.33333333333333,2.66666666666667,3,3,2.75,3,1
55,100,60,4.25,4.25,5,4.66666666666667,2.5,3,3,3,1
46,100,5,3.5,4.5,2,5,3.25,4.75,3.5,5,1
41,0,2,2.5,3.25,2.33333333333333,3,2.25,2.5,2,3.5,1
41,100,121,4,4,4.33333333333333,5,1.5,2,2.25,4.25,1
51,0,207,4,3.75,2,2.66666666666667,3.25,2.5,3,3.5,1
51,100,1,3.5,2.25,2.33333333333333,1.33333333333333,4,3,4.75,4.75,1
49,100,69,3.5,4,2.33333333333333,4,3.75,2.75,4.25,5,0
50,100,29,2.5,3.5,3.33333333333333,4,2.75,4.25,1,3.75,1
47,100,138,4.25,4.25,2.33333333333333,3.33333333333333,4.75,4.5,5,5,0
45,0,170,3.5,2.25,3.66666666666667,3.33333333333333,2.25,2.5,2.75,3,1
30,0,13,2,2.75,3.66666666666667,4.33333333333333,2.5,2.5,3.75,3.5,1
29,0,28,3.75,4,5,4,2.75,3.25,3.75,3.75,1
53,0,199,2.25,2.75,5,5,4.5,4.75,5,5,0
63,100,3,4,5,4.33333333333333,4.66666666666667,2.75,3.25,4,4.75,1
31,0,7,2.25,2.5,3.66666666666667,3.66666666666667,1.5,2,2.5,3,0
25,100,13,2.5,3,3,3,2.75,3.5,3,3.5,0
52,100,85,3.5,4.75,2.66666666666667,4.33333333333333,2.75,3,2.5,2.5,1
48,100,53,2.75,2.75,3,1.66666666666667,3.25,3,4.25,3.25,1
62,100,92,NA,NA,NA,NA,NA,NA,NA,NA,1
25,100,2,NA,NA,NA,NA,NA,NA,NA,NA,1
56,0,102,2,2.5,3,2.33333333333333,3.5,2.5,1,1.75,1
41,100,5,3.25,4.75,5,5,3.5,3.75,3.75,5,1
38,100,99,1.25,1,4.66666666666667,2.66666666666667,3.75,2.75,2,2.25,0
49,100,25,2.5,3.5,4.33333333333333,5,4,5,4,5,1
46,0,332,3.75,5,3.33333333333333,4.33333333333333,3,3.5,3.75,3.5,1
35,0,27,3,4.25,5,5,3,3.75,3,3.25,1
52,100,8,3.75,3.75,4,4.66666666666667,3.75,4,3.25,3.75,1
45,0,166,1.25,2.5,1,3,1.25,1.25,1.25,2.75,1
31,100,55,3,3.25,3.66666666666667,5,3.25,4.25,2.5,4.25,0
60,0,24,2.75,2.5,1.66666666666667,2,2.75,3,2,2,0
54,100,64,1.5,2,2.66666666666667,5,1.5,3.5,2.5,3.25,1
50,0,103,NA,NA,NA,NA,NA,NA,NA,NA,1
61,0,33,3.75,4,3.66666666666667,4,3.75,4,3.25,3.25,1
54,0,79,3.75,3.5,3.33333333333333,2,3,3.5,3.75,4.75,1
51,0,48,3,4.5,3,3.33333333333333,4.75,4.5,3.5,4.5,1
28,0,2,3.25,3.75,3.66666666666667,4.66666666666667,4.25,4.25,2.5,4.5,1
44,0,98,3.25,3.25,2.66666666666667,3.33333333333333,3.25,3.25,2.25,3,1
45,0,110,3.75,3,1,2.33333333333333,4.75,3.75,3,3.25,1
35,0,2,NA,NA,NA,NA,NA,NA,NA,NA,1
20,0,14,2.75,4,5,5,2.5,4.25,4,5,1
43,100,3,3.25,3,4,1.66666666666667,2.75,2,3.25,2.5,1
54,0,162,3.5,4.25,5,3.66666666666667,4.5,2.75,4.5,4.25,1
33,0,5,3,3.5,3,3,2.25,2.75,3,3.5,1
51,0,67,3.5,4,3,4,3.5,4,2.75,3.5,0
31,100,23,NA,NA,NA,NA,NA,NA,NA,NA,1
59,100,144,3.5,2.75,2.66666666666667,3.66666666666667,2.5,3,3.75,3,1
57,0,168,3.5,3,2.33333333333333,2.33333333333333,3.75,3.25,2,2.75,0
39,0,127,3,2.5,2,2.66666666666667,2.75,2.25,2.75,3.5,0
32,0,3,5,4.5,1.66666666666667,4,3.25,3,5,4.75,1
52,100,23,3,5,3.33333333333333,3,2.75,2.25,3.5,2.75,1
25,100,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,1
38,0,2,3.75,4.25,3,3,3.5,4.25,3.75,3.25,1
59,100,152,3.75,5,3.66666666666667,2.33333333333333,3,2.5,3.5,2.25,1
54,100,2,NA,NA,NA,NA,NA,NA,NA,NA,1
59,0,3,3.75,4.25,2,2.33333333333333,3.25,4.5,3.25,3.75,1
38,100,112,1,2.25,3.66666666666667,5,1.75,2.25,2.75,4.5,1
54,0,163,NA,NA,NA,NA,NA,NA,NA,NA,1
43,100,62,2.5,4,3.33333333333333,4,2.5,3.5,1.75,3,1
30,0,6,2.25,2.5,3.33333333333333,3.66666666666667,4,3.25,3,2.5,1
37,0,16,4,4.25,5,5,3,3,5,5,1
34,100,63,NA,NA,NA,NA,NA,NA,NA,NA,1
28,100,2,4,4.25,4,2.66666666666667,3.5,2.75,3.25,3.75,1
